,city,date,treat,price,rating,omtaler,gæster,soveværelser,other,cleaning products,hot water,washing machine,hangers,security,work,wi-fi,kitchen,refrigerator,parkering and faciliteter,smoking allowed,shampoo,blackout curtains,entertainment,gæster,hair dryer,temperature,family,attractions nearby,host,bed linen,outdoor,dishwasher,view,mailbox,fitness equipment,pool etc.,fireplace,Sights,Safety,Shopping,Location,Climate,Affordability
94,Madrid,2024-05-29,1,202.0,4.89,62,,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,,1.0,,,,,,,,,,,,,7.5,7.0,7.5,5.25,8.75,3.75
95,Madrid,2024-05-29,1,197.0,,,,1.0,,,,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,7.5,7.0,7.5,5.25,8.75,3.75
96,Madrid,2024-05-29,1,132.0,4.54,13,,,,,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,,1.0,,,,,,,1.0,,,,,,,,,,7.5,7.0,7.5,5.25,8.75,3.75
97,Madrid,2024-05-29,1,189.0,4.32,63,,2.0,,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,,1.0,1.0,1.0,1.0,,1.0,,1.0,,,,,,7.5,7.0,7.5,5.25,8.75,3.75
98,Madrid,2024-05-29,1,140.0,5.0,11,,1.0,,,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,,,,1.0,,1.0,,1.0,,,,,,,,,,,7.5,7.0,7.5,5.25,8.75,3.75
99,Madrid,2024-05-29,1,162.0,,,,3.0,,,,1.0,,1.0,1.0,1.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,7.5,7.0,7.5,5.25,8.75,3.75
100,Madrid,2024-05-29,1,193.0,4.50,6,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,,,,,,1.0,,1.0,1.0,,,,,,,,7.5,7.0,7.5,5.25,8.75,3.75
101,Madrid,2024-05-29,1,193.0,4.08,73,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,,,,1.0,1.0,,1.0,,1.0,,,,,,7.5,7.0,7.5,5.25,8.75,3.75
102,Madrid,2024-05-29,1,171.0,4.86,29,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,,,,1.0,,,1.0,,,1.0,,,,,7.5,7.0,7.5,5.25,8.75,3.75
103,Madrid,2024-05-29,1,193.0,4.53,36,,2.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,,,,1.0,1.0,1.0,,1.0,,,,,,,,,7.5,7.0,7.5,5.25,8.75,3.75
104,Madrid,2024-05-29,1,193.0,4.29,38,,2.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,,,,1.0,1.0,,,1.0,,,,,,,,,7.5,7.0,7.5,5.25,8.75,3.75
105,Madrid,2024-05-29,1,202.0,4.83,6,,2.0,,,,1.0,,,1.0,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,7.5,7.0,7.5,5.25,8.75,3.75
